internal_id,national_dex,status
0x01,112,mapped
0x02,115,mapped
0x03,32,mapped
0x04,35,mapped
0x05,21,mapped
0x06,100,mapped
0x07,34,mapped
0x08,80,mapped
0x09,2,mapped
0x0A,103,mapped
0x0B,108,mapped
0x0C,102,mapped
0x0D,88,mapped
0x0E,94,mapped
0x0F,29,mapped
0x10,31,mapped
0x11,104,mapped
0x12,111,mapped
0x13,131,mapped
0x14,59,mapped
0x15,151,mapped
0x16,130,mapped
0x17,90,mapped
0x18,72,mapped
0x19,92,mapped
0x1A,123,mapped
0x1B,120,mapped
0x1C,9,mapped
0x1D,127,mapped
0x1E,114,mapped
0x1F,0,unmapped-missingno-slot
0x20,0,unmapped-missingno-slot
0x21,58,mapped
0x22,95,mapped
0x23,22,mapped
0x24,16,mapped
0x25,79,mapped
0x26,64,mapped
0x27,75,mapped
0x28,113,mapped
0x29,67,mapped
0x2A,122,mapped
0x2B,106,mapped
0x2C,107,mapped
0x2D,24,mapped
0x2E,47,mapped
0x2F,54,mapped
0x30,96,mapped
0x31,76,mapped
0x32,0,unmapped-missingno-slot
0x33,126,mapped
0x34,0,unmapped-missingno-slot
0x35,125,mapped
0x36,82,mapped
0x37,109,mapped
0x38,0,unmapped-missingno-slot
0x39,56,mapped
0x3A,86,mapped
0x3B,50,mapped
0x3C,128,mapped
0x3D,0,unmapped-missingno-slot
0x3E,0,unmapped-missingno-slot
0x3F,0,unmapped-missingno-slot
0x40,83,mapped
0x41,48,mapped
0x42,149,mapped
0x43,0,unmapped-missingno-slot
0x44,0,unmapped-missingno-slot
0x45,0,unmapped-missingno-slot
0x46,84,mapped
0x47,60,mapped
0x48,124,mapped
0x49,146,mapped
0x4A,144,mapped
0x4B,145,mapped
0x4C,132,mapped
0x4D,52,mapped
0x4E,98,mapped
0x4F,0,unmapped-missingno-slot
0x50,0,unmapped-missingno-slot
0x51,0,unmapped-missingno-slot
0x52,37,mapped
0x53,38,mapped
0x54,25,mapped
0x55,26,mapped
0x56,0,unmapped-missingno-slot
0x57,0,unmapped-missingno-slot
0x58,147,mapped
0x59,148,mapped
0x5A,140,mapped
0x5B,141,mapped
0x5C,116,mapped
0x5D,117,mapped
0x5E,0,unmapped-missingno-slot
0x5F,0,unmapped-missingno-slot
0x60,27,mapped
0x61,28,mapped
0x62,138,mapped
0x63,139,mapped
0x64,39,mapped
0x65,40,mapped
0x66,133,mapped
0x67,136,mapped
0x68,135,mapped
0x69,134,mapped
0x6A,66,mapped
0x6B,41,mapped
0x6C,23,mapped
0x6D,46,mapped
0x6E,61,mapped
0x6F,62,mapped
0x70,13,mapped
0x71,14,mapped
0x72,15,mapped
0x73,0,unmapped-missingno-slot
0x74,85,mapped
0x75,57,mapped
0x76,51,mapped
0x77,49,mapped
0x78,87,mapped
0x79,0,unmapped-missingno-slot
0x7A,0,unmapped-missingno-slot
0x7B,10,mapped
0x7C,11,mapped
0x7D,12,mapped
0x7E,68,mapped
0x7F,0,unmapped-missingno-slot
0x80,55,mapped
0x81,97,mapped
0x82,42,mapped
0x83,150,mapped
0x84,143,mapped
0x85,129,mapped
0x86,0,unmapped-missingno-slot
0x87,0,unmapped-missingno-slot
0x88,89,mapped
0x89,0,unmapped-missingno-slot
0x8A,99,mapped
0x8B,91,mapped
0x8C,0,unmapped-missingno-slot
0x8D,101,mapped
0x8E,36,mapped
0x8F,110,mapped
0x90,53,mapped
0x91,105,mapped
0x92,0,unmapped-missingno-slot
0x93,93,mapped
0x94,63,mapped
0x95,65,mapped
0x96,17,mapped
0x97,18,mapped
0x98,121,mapped
0x99,1,mapped
0x9A,3,mapped
0x9B,73,mapped
0x9C,0,unmapped-missingno-slot
0x9D,118,mapped
0x9E,119,mapped
0x9F,0,unmapped-missingno-slot
0xA0,0,unmapped-missingno-slot
0xA1,0,unmapped-missingno-slot
0xA2,0,unmapped-missingno-slot
0xA3,77,mapped
0xA4,78,mapped
0xA5,19,mapped
0xA6,20,mapped
0xA7,33,mapped
0xA8,30,mapped
0xA9,74,mapped
0xAA,137,mapped
0xAB,142,mapped
0xAC,0,unmapped-missingno-slot
0xAD,81,mapped
0xAE,0,unmapped-missingno-slot
0xAF,0,unmapped-missingno-slot
0xB0,4,mapped
0xB1,7,mapped
0xB2,5,mapped
0xB3,8,mapped
0xB4,6,mapped
0xB5,0,unmapped-missingno-slot
0xB6,0,unmapped-missingno-slot
0xB7,0,unmapped-missingno-slot
0xB8,0,unmapped-missingno-slot
0xB9,43,mapped
0xBA,44,mapped
0xBB,45,mapped
0xBC,69,mapped
0xBD,70,mapped
0xBE,71,mapped
