bank,file_start,file_end,different_bytes
0,0x00000,0x04000,13109
1,0x04000,0x08000,11803
2,0x08000,0x0C000,18
3,0x0C000,0x10000,366
4,0x10000,0x14000,233
5,0x14000,0x18000,83
6,0x18000,0x1C000,348
7,0x1C000,0x20000,560
8,0x20000,0x24000,60
9,0x24000,0x28000,519
10,0x28000,0x2C000,14
11,0x2C000,0x30000,13
12,0x30000,0x34000,32
13,0x34000,0x38000,65
14,0x38000,0x3C000,79
15,0x3C000,0x40000,15403
16,0x40000,0x44000,135
17,0x44000,0x48000,307
18,0x48000,0x4C000,406
19,0x4C000,0x50000,36
20,0x50000,0x54000,379
21,0x54000,0x58000,313
22,0x58000,0x5C000,330
23,0x5C000,0x60000,397
24,0x60000,0x64000,359
25,0x64000,0x68000,32
26,0x68000,0x6C000,2
27,0x6C000,0x70000,0
28,0x70000,0x74000,203
29,0x74000,0x78000,425
30,0x78000,0x7C000,132
31,0x7C000,0x80000,7
